 ProdDate ;ProdTime;BitronCode;UUT;Result;Mode;FailNo;TestTime;Check Barcode;Test1;Test1;Test1;Test1;Test1;Test1;Test1;Test1;Test1;Test1;
2019-09-23;13:20:40; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:40; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:42; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:42; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:45; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:46; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:50; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:50; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:52; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:52; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:53; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:54; 30410001 ; 1 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
2019-09-23;13:20:55; 30410001 ; 0 ;  OK  ;  0 ;   -  ;1.015 ;;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;
